Fundamentos Físicos y Tecnológicos,FFT,1⁰,1⁰
Informática Gráfica,IG,3⁰,1⁰
Fundamentos de Redes,FR,3⁰,1⁰
Infraestructura Virtual,IV,4⁰,1⁰
Algorítmica,Alg,2⁰,2⁰
Arquitectura de Computadores,AC,2⁰,2⁰
Tecnologías Web,TW,3⁰,2⁰
Transmisión de Datos y Redes de Comunicación,TDRC,3⁰,2⁰
